month,state,cases,deaths,cases_growth_rate,deaths_growth_rate,mortality_rate,mortality_rate_change
2020-04,New York,6328973,425198.0,12.611250782290028,52.531159511519576,6.7182779891777065,2.9328611578570305
2020-04,North Carolina,168317,4804.0,18.533132180573286,149.125,2.854138322332266,6.685659351105356
2020-04,North Dakota,14825,296.0,17.837357052096568,31.888888888888886,1.996627318718381,0.7459396664792954
2020-04,Northern Mariana Islands,355,54.0,43.375,0.0,15.211267605633802,0.0
2020-04,Ohio,287164,12517.0,22.705134555060262,56.15525114155251,4.358833279937597,1.4110916142997283
2020-04,Oklahoma,67883,3692.0,21.118931247963506,35.554455445544555,5.438769647776321,0.6526320840619337
2020-04,Oregon,50484,1829.0,9.924908028565246,13.178294573643411,3.622930037239521,0.29779532574293244
2020-04,Pennsylvania,822697,30595.0,33.48162119116476,113.16044776119404,3.7188661196041797,2.3107621920759747
2020-04,Puerto Rico,28004,1450.0,27.144723618090453,40.42857142857143,5.177831738323096,0.4719835941804231
2020-04,Rhode Island,119603,3459.0,45.53813229571985,202.47058823529412,2.8920679247176073,3.372126215602501
2020-04,South Carolina,113247,3284.0,16.893348080265444,24.858267716535433,2.899856066827377,0.4451329958228716
2020-04,South Dakota,36231,211.0,49.957805907173,8.590909090909092,0.5823742099307223,-0.8117872439723893
2020-04,Tennessee,187332,3741.0,14.15631067961165,62.40677966101695,1.9969893024149639,3.1835233521777884
2020-04,Texas,494349,12274.0,22.970760801047373,44.45925925925926,2.4828612983944542,0.8964462428440307
2020-04,Utah,82277,722.0,13.792700467457749,35.1,0.8775234877304715,1.4403928193784412
2020-04,Vermont,21158,958.0,10.436756756756758,9.301075268817204,4.527838169959353,-0.0993010092016341
2020-04,Virgin Islands,1530,57.0,5.6521739130434785,0.0,3.7254901960784315,0.0
2020-04,Virginia,223913,7019.0,31.097620412844037,63.39449541284404,3.1346996378057552,1.0062077681956834
2020-04,Washington,327552,16938.0,6.087722335223092,6.125788809423644,5.171087338804221,0.00537076262304681
2020-04,West Virginia,21315,515.0,23.613163972286372,170.66666666666666,2.41613886934084,5.974587536163891
